quarter,language,push_events,unique_actors
2021-04-01,Dart,8372,194
2021-04-01,Go,101571,3295
2021-04-01,Haskell,4802,334
2021-04-01,Java,214230,7587
2021-04-01,JavaScript,240056,10672
2021-04-01,Julia,1951,96
2021-04-01,Kotlin,25782,637
2021-04-01,Lua,7275,401
2021-04-01,Objective-C,6734,508
2021-04-01,PHP,117018,4583
2021-04-01,Perl,9097,532
2021-04-01,Python,308970,11256
2021-04-01,R,4687,373
2021-04-01,Ruby,84015,3355
2021-04-01,Rust,20291,660
2021-04-01,Scala,23124,790
2021-04-01,Swift,12462,774
2021-04-01,TypeScript,165337,3324
2021-07-01,C,71247,3013
2021-07-01,C#,1430578,2471
2021-07-01,C++,157515,5322
2021-07-01,Dart,7386,171
2021-07-01,Go,100874,3214
2021-07-01,Haskell,4212,272
2021-07-01,Java,198399,6817
2021-07-01,JavaScript,230348,9372
2021-07-01,Julia,1972,79
2021-07-01,Kotlin,22892,608
2021-07-01,Lua,6186,367
2021-07-01,Objective-C,5142,452
2021-07-01,PHP,114184,4169
2021-07-01,Perl,10480,494
2021-07-01,Python,302129,10392
2021-07-01,R,3510,312
2021-07-01,Ruby,76275,3063
2021-07-01,Rust,18238,611
2021-07-01,Scala,19356,715
2021-07-01,Swift,12442,698
2021-07-01,TypeScript,156751,3143
2021-10-01,C,63142,2885
2021-10-01,C#,2741983,2229
2021-10-01,C++,126146,4828
2021-10-01,Dart,5759,152
2021-10-01,Go,70489,2864
2021-10-01,Haskell,3974,308
2021-10-01,Java,159050,6563
2021-10-01,JavaScript,171201,8070
2021-10-01,Julia,1041,80
2021-10-01,Kotlin,17868,585
2021-10-01,Lua,5015,354
2021-10-01,Objective-C,4259,396
2021-10-01,PHP,94583,3775
2021-10-01,Perl,8570,456
2021-10-01,Python,260194,9372
2021-10-01,R,2490,251
2021-10-01,Ruby,60896,2661
2021-10-01,Rust,15427,577
2021-10-01,Scala,16922,658
2021-10-01,Swift,10590,601
2021-10-01,TypeScript,122792,2783
2022-01-01,C,78954,2912
2022-01-01,C#,2984133,2386
2022-01-01,C++,158483,5193
2022-01-01,Dart,8677,178
2022-01-01,Go,100301,3231
2022-01-01,Haskell,3786,298
2022-01-01,Java,200939,6793
2022-01-01,JavaScript,204247,8793
2022-01-01,Julia,1696,87
2022-01-01,Kotlin,22577,608
2022-01-01,Lua,7427,366
2022-01-01,Objective-C,5082,392
2022-01-01,PHP,124292,4302
2022-01-01,Perl,10916,485
2022-01-01,Python,324343,9936
2022-01-01,R,2986,261
2022-01-01,Ruby,73552,3030
2022-01-01,Rust,19524,620
2022-01-01,Scala,19604,726
2022-01-01,Swift,12177,654
2022-01-01,TypeScript,151971,3095
2022-04-01,C,66294,2701
2022-04-01,C#,2809282,2332
2022-04-01,C++,141088,4856
2022-04-01,Dart,15251,195
2022-04-01,Go,98438,3096
2022-04-01,Haskell,3911,289
2022-04-01,Java,180361,6234
2022-04-01,JavaScript,184712,8337
2022-04-01,Julia,2005,82
2022-04-01,Kotlin,23711,589
2022-04-01,Lua,8553,375
2022-04-01,Objective-C,5476,389
2022-04-01,PHP,100320,3789
2022-04-01,Perl,10322,461
2022-04-01,Python,281991,9049
2022-04-01,R,2617,247
2022-04-01,Ruby,70424,2812
2022-04-01,Rust,22388,649
2022-04-01,Scala,18137,660
2022-04-01,Swift,11810,615
2022-04-01,TypeScript,147729,2903
2022-07-01,C,68049,2688
2022-07-01,C#,3295972,2234
2022-07-01,C++,144701,4685
2022-07-01,Dart,11596,193
2022-07-01,Go,105045,3024
2022-07-01,Haskell,4015,283
2022-07-01,Java,197951,6064
2022-07-01,JavaScript,168398,7581
2022-07-01,Julia,1846,92
2022-07-01,Kotlin,22237,550
2022-07-01,Lua,7976,359
2022-07-01,Objective-C,4863,390
2022-07-01,PHP,93025,3590
2022-07-01,Perl,10699,449
2022-07-01,Python,467046,8861
